"","PolicyNum","Year","ClaimBC","ClaimIM","ClaimPN","ClaimPO","ClaimCN","ClaimCO","TypeCity","TypeCounty","TypeMisc","TypeSchool","TypeTown","TypeVillage","IsRC","CoverageBC","lnDeductBC","NoClaimCreditBC","yAvgBC","FreqBC","CoverageIM","lnDeductIM","NoClaimCreditIM","yAvgIM","FreqIM","CoveragePN","NoClaimCreditPN","yAvgPN","FreqPN","CoveragePO","NoClaimCreditPO","yAvgPO","FreqPO","CoverageCN","NoClaimCreditCN","yAvgCN","FreqCN","CoverageCO","NoClaimCreditCO","yAvgCO","FreqCO"
"22",120008,2007,2250,0,0,0,12257.12,148418.25,0,1,0,0,0,0,1,49.811334,6.21460809842219,0,2250,1,2.908517,6.21460809842219,0,0,0,0.771702,0,0,0,1.296515,0,0,0,0.771702,0,12257.12,1,1.296515,0,49472.75,3
"23",120008,2008,713.15,0,0,0,29339.36,1097,0,1,0,0,0,0,1,43.43849,6.21460809842219,0,713.15,1,2.70041,6.21460809842219,1,0,0,0.827974,0,0,0,1.495953,1,0,0,0.827974,0,14669.68,2,1.495953,0,1097,1
"24",120008,2009,12014.69,0,2469.45,3163.32,0,173.92,0,1,0,0,0,0,1,45.36092,6.21460809842219,0,6007.345,2,2.700374,6.21460809842219,1,0,0,0.684311,1,2469.45,1,1.891205,1,3163.32,1,0.684311,0,0,0,1.891205,0,173.92,1
"25",120008,2010,3469.79,0,0,1149.4,0,681.4,0,1,0,0,0,0,1,47.321724,6.21460809842219,0,3469.79,1,2.692416,6.21460809842219,1,0,0,1.111073,0,0,0,2.085879,0,1149.4,1,1.111073,0,0,0,2.085879,0,681.4,1
"26",120009,2006,0,0,0,0,0,0,0,1,0,0,0,0,1,66.618639,10.1266311038503,0,0,0,9.682845,8.51719319141624,0,0,0,1.576587,0,0,0,6.215043,0,0,0,0,0,0,0,0,0,0,0
"27",120009,2007,0,0,0,0,0,0,0,1,0,0,0,0,1,70.089341,10.1266311038503,0,0,0,10.376916,8.51719319141624,0,0,0,0.821105,0,0,0,7.086739,0,0,0,0,0,0,0,0,0,0,0
"28",120009,2008,0,0,0,0,0,0,0,1,0,0,0,0,1,73.688951,10.1266311038503,1,0,0,10.279137,8.51719319141624,1,0,0,0.750379,1,0,0,7.703136,1,0,0,0,0,0,0,0,0,0,0
"29",120009,2009,5474.3,17593.88,0,0,0,0,0,1,0,0,0,0,1,75.219452,10.1266311038503,1,5474.3,1,9.920168,8.51719319141624,1,17593.88,1,1.080599,1,0,0,7.409736,1,0,0,0,0,0,0,0,0,0,0
"30",120009,2010,0,0,0,0,0,0,0,1,0,0,0,0,1,72.286976,10.1266311038503,0,0,0,10.659633,8.51719319141624,0,0,0,1.17,1,0,0,8.766227,1,0,0,0,0,0,0,0,0,0,0
"31",120010,2009,20110.06,796.9,7369.74,32776.1,780.82,1589.8,0,1,0,0,0,0,1,71.017505,10.1266311038503,0,5027.515,4,4.089611,8.51719319141624,0,398.45,2,0.444427,0,921.2175,8,4.262824,0,8194.025,4,0.444427,0,390.41,2,4.262824,0,794.9,2
